numenc;descricao
2310250120;REGULAMENTA VELOCIDADE
2310259098;HORIZ.SIST.VIARIO SECUNDARIO
2310260126;REGULAMENTA CIRCULAÇAO DE CAMINHOES
2310261122;REGULAMENTA CIRCULAÇAO DE CAMINHOES
2310262129;REGULAMENTA CIRCULAÇAO DE CAMINHOES
2310263125;REGULAMENTA CIRCULAÇAO DE CAMINHOES
2310264121;SINALIZAÇAO DE ADVERTENCIA
2310264121;HORIZ.SIST.VIARIO SECUNDARIO
2310264121;PROJETO DE SEGURANÇA - PEDESTRE
2310264121;MANUTENÇÃO DE SINALIZAÇÃO JUNTO ÀS ESCOLAS
2310265128;REGULAMENTA ESTACIONAMENTO
2310266124;REGULAMENTA CIRCULAÇAO DE CAMINHOES
2310267120;SINALIZAÇAO DE ADVERTENCIA
2310268127;REGULAMENTA ESTACIONAMENTO
2310269123;REGULAMENTA ESTACIONAMENTO
2310269123;SINALIZAÇAO DE ADVERTENCIA
2310270121;SINALIZAÇAO DE ADVERTENCIA
2310271128;REGULAMENTA ESTACIONAMENTO
2310271128;PAIRE ESCOLA
2310273120;PROJETO DE SEGURANÇA
2310274127;REGULAMENTA/ALTERA CIRCULACAO
2310277126;REGULAMENTA ESTACIONAMENTO
2310281123;REGULAMENTA ESTACIONAMENTO
2310281123;HORIZ.SIST.VIARIO SECUNDARIO
2310281123;PAIRE ESCOLA
2310282090;REGULAMENTA ESTACIONAMENTO
2310282090;HORIZ.SIST.VIARIO SECUNDARIO
2310282090;PAIRE ESCOLA
2310282090;PAIRE ONIBUS
2310285129;REGULAMENTA/ALTERA CIRCULACAO
2310286125;REGULAMENTA CIRCULAÇAO DE CAMINHOES
2310287121;REGULAMENTA ESTACIONAMENTO
2310289124;REGULAMENTA ESTACIONAMENTO
2310292125;REGULAMENTA ESTACIONAMENTO
2310293121;REGULAMENTA ESTACIONAMENTO
2310293121;PAIRE ONIBUS
2310294128;REGULAMENTA ESTACIONAMENTO
2310296120;REGULAMENTA VELOCIDADE
2310297127;REGULAMENTA ESTACIONAMENTO
2310298123;REGULAMENTA/ALTERA CIRCULACAO
2310298123;REGULAMENTA PREFERENCIAL
2310299120;REGULAMENTA PREFERENCIAL
2310299120;SINALIZAÇAO DE ADVERTENCIA
2310299120;PROJETO DE SEGURANÇA
2310300128;REGULAMENTA PREFERENCIAL
2310301124;SINALIZAÇAO DE ADVERTENCIA
2310302120;PROJETO DE SEGURANÇA
2310304123;REGULAMENTA ESTACIONAMENTO
2310304123;HORIZ.SIST.VIARIO SECUNDARIO
2310304123;PAIRE ESCOLA
2310308129;HORIZ.SIST.VIARIO SECUNDARIO
2310309125;REGULAMENTA ESTACIONAMENTO
2310310093;REGULAMENTA/ALTERA CIRCULACAO
2310312126;REGULAMENTA ESTACIONAMENTO
2310312126;SINALIZAÇAO DE ADVERTENCIA
2310314129;PROJETO DE SEGURANÇA - PEDESTRE
2310315125;SINALIZAÇAO DE ADVERTENCIA
2310316121;REGULAMENTA ESTACIONAMENTO
2310317110;PAIRE FARMACIA
2310320110;PAIRE ESCOLA
2310320129;SINALIZAÇAO DE ADVERTENCIA
2310321125;REGULAMENTA ESTACIONAMENTO
2310321125;ZONA AZUL
2310322121;REGULAMENTA/ALTERA CIRCULACAO
2310323128;REGULAMENTA/ALTERA CIRCULACAO
2310325120;SINALIZAÇAO DE ADVERTENCIA
2310327123;REGULAMENTA ESTACIONAMENTO
2310328120;SINALIZAÇAO DE ADVERTENCIA
2310329126;SINALIZAÇAO DE ADVERTENCIA
2310331120;REGULAMENTA PREFERENCIAL
2310331120;SINALIZAÇAO DE ADVERTENCIA
2310332127;REGULAMENTA ESTACIONAMENTO
2310333123;REGULAMENTA ESTACIONAMENTO
2310334120;REGULAMENTA/ALTERA CIRCULACAO
2310334120;REGULAMENTA PREFERENCIAL
2310335126;REGULAMENTA ESTACIONAMENTO
2310337129;REGULAMENTA PREFERENCIAL
2310338125;REGULAMENTA/ALTERA CIRCULACAO
2310338125;REGULAMENTA PREFERENCIAL
2310340120;REGULAMENTA/ALTERA CIRCULACAO
2310340120;REGULAMENTA PREFERENCIAL
2310342122;REGULAMENTA/ALTERA CIRCULACAO
2310342122;REGULAMENTA PREFERENCIAL
2310343129;REGULAMENTA PREFERENCIAL
2310343129;SINALIZAÇAO DE ADVERTENCIA
2310343129;REGULAMENTA VELOCIDADE
