numenc;local
2310114090;R BRIG  GAVIAO PEIXOTO  X  R ELEUTERIO PRADO
2310115096;R BRIG  GAVIAO PEIXOTO  X  R ELEUTERIO PRADO
2310117129;R   PEREIRA LEITE  ENTRE  R HEITOR PENTEADO E  R NAZARE PAULISTA - N.456 - 156
2310118079;R   MONTEIRO DE MELO  X  R ULPIANO
2310118109;R   PIRACUAMA  X  R APIACAS
2310119075;R   MONTEIRO DE MELO  X  R ULPIANO
2310120103;PC BRA DA BOCAINA  - N.87
2310121070;R   GALENO DE ALMEIDA  ENTRE  R JOAO MOURA E  R CRISTIANO VIANA
2310123129;R   GALENO DE ALMEIDA  X  R CAPOTE VALENTE - PÇA CAETANO FRACCAROLI
2310123129;AV   PAULO VI  X  R GALENO DE ALMEIDA - ENTRE VIADUTO PAULO VI E R.CAPOTE VALENTE
2310126128;R   TOME DE SOUZA  ENTRE  R PIO XI E  AV MERCEDES
2310127124;R CEL  MELO DE OLIVEIRA  ENTRE  R COTOXO E  AV POMPEIA
2310129127;R   ARTUR DE AZEVEDO  ENTRE  R CON EUGENIO LEITE E  R JOAQUIM ANTUNES
2310131121;R   ARTUR DE AZEVEDO  X  R JOAO MOURA
2310132128;R  DOS MIRANHAS  X  R WISARD
2310132128;R  DOS MIRANHAS  X  R MORAS
2310134074;R   SEPETIBA  X  R AJURICABA
2310134074;R   AJURICABA  X  R CEL CASTRO DE FARIA
2310139122;R   PIO XI  X  R CARAPURUI
2310139122;R   PIO XI  X  R BAIRI
2310139122;R   PIO XI  X  PC OSWALDO ZANINI
2310140082;R   TITO  X  R BARRA DO CHAPEU
2310140120;R   HENRIQUE SCHAUMANN  X  R LUIS MURAT
2310147125;R   OROBO  X  R BANIBAS
2310147125;R   BANIBAS  X  R BENNET
2310147125;R   OROBO  X  R BENNET
2310156124;R   HAVAI  X  R ANDRE CASADO
2310156124;R   HAVAI  ENTRE  R SARAMENHA E  R ANDRE CASADO
2310159123;R   NATINGUI  X  R DJALMA COELHO
2310159123;AV  DAS CORUJAS  X  R DJALMA COELHO
2310159123;AV  DAS CORUJAS  X  R NATINGUI
2310161098;R   TEODORO SAMPAIO  - N.2504
2310162094;R   TEODORO SAMPAIO  - N.2382
2310163090;R   TEODORO SAMPAIO  - N.2248
2310164097;R   TEODORO SAMPAIO  - N.2154
2310164127;R   JARICUNAS  X  R GAL VITORINO MONTEIRO
2310165093;R   TEODORO SAMPAIO  - N.2004
2310165123;AV   POMPEIA  - N.2198
2310166090;R   TEODORO SAMPAIO  - N.1916
2310167096;R   TEODORO SAMPAIO  - N.1768
2310168092;R   TEODORO SAMPAIO  - N.1704
2310168122;PC   HORACIO SABINO  X  R PENALVA
2310169099;R   TEODORO SAMPAIO  - N.1600
2310169129;R   EPEIRA  X  R MIGUEL RODRIGUES
2310169129;R   EPEIRA  ENTRE  R MIGUEL RODRIGUES E  R JOSE DORNELLAS
2310170097;R   HENRIQUE SCHAUMANN  X  R TEODORO SAMPAIO
2310170127;R   JEROAQUARA  X  R ROMA
2310170127;R   FRANCISCO ALVES  X  R CORIOLANO
2310171123;R   MARIO SETTE  ENTRE  R TEIXEIRA E SOUSA E  AV FRANCISCO MATARAZZO
2310175129;R   FRADIQUE COUTINHO  ENTRE  R TEODORO SAMPAIO E  R ARTUR DE AZEVEDO
2310176087;PTE   BERNARDO GOLDFARB  X  R EUGENIO DE MEDEIROS
2310177121;R   FABIA  X  R ESPARTACO
2310178128;R   HENRIQUE SCHAUMANN  X  R LUIS MURAT
2310181129;R   UBIRACICA  X  AV PROF FONSECA RODRIGUES
2310184128;R IRMAO  ODILON DINIZ  X  R SARAMENHA
2310185124;AV PROF  ALFONSO BOVERO  X  R APINAJES - R.CAJAIBA
2310186120;R   PAU-BRASIL  X  R ANATOLIA - N.640 - R.APERCA
2310187119;R   JOAO MOURA  X  R AMALIA DE NORONHA - R. ÁSIA
2310187127;R PDE  CARVALHO  X  R VUPABUSSU - AV.BRIG.FARIA LIMA
2310191108;R   MOURATO COELHO  - N.87
2310192120;R   ISABEL DE CASTELA  X  R LEAO COROADO - R.LEMOS CONDE
2310193097;R   CUNHA GAGO  X  R TEODORO SAMPAIO
2310194093;AV   PEDROSO DE MORAIS  X  R TEODORO SAMPAIO
2310195120;AV PROF  FONSECA RODRIGUES  X  AV PDE PEREIRA DE ANDRADE
2310195120;AV PROF  FONSECA RODRIGUES  X  PC PERO VAZ DE CAMINHA
2310195120;AV PROF  FONSECA RODRIGUES  X  AV ARRUDA BOTELHO
2310195120;AV PROF  FONSECA RODRIGUES  X  PC BEETHOVEN
2310195120;AV PROF  FONSECA RODRIGUES  ENTRE  R MIRALTA E  R DOS ESCULTORES
2310196126;R   OROBO  X  R BELCHIOR DA CUNHA
2310196126;R   OROBO  X  PC PDE CHARBONNEAU
2310197122;R PDE  CHICO  ENTRE  AV POMPEIA E  R COTOXO
2310198129;PC   IGNEZ GUIMARAES SOARES PESTANA  X  R OQUIRA
2310199125;AV   DIOGENES RIBEIRO DE LIMA  X  R MURAJUBA
2310199125;AV   DIOGENES RIBEIRO DE LIMA  X  R BERLIOZ
2310200123;AV S  GUALTER  X  R PIANU
2310201120;PC S  MARCOS  X  R CARD CAGLIORI
2310202126;R   BELINI  X  R ANTONIO DE GOUVEIA GIUDICE
2310202126;PC   BEETHOVEN  X  R ANTONIO DE GOUVEIA GIUDICE
2310203122;AV PROF  FONSECA RODRIGUES  X  R BERLIOZ
2310203122;R   ARACUAI  X  R BERLIOZ
2310203122;R   PEDRALVA  X  R BERLIOZ
2310207128;AV   PAULO VI  X  R LISBOA
2310208124;R   TEODORO SAMPAIO  ENTRE  R FRADIQUE COUTINHO E  R MATEUS GROU
2310210064;R   HEITOR PENTEADO  - PRÓX. R. CRISTIANO VIANA
2310212083;R   COSTA CARVALHO  ENTRE  R PARAOPEBA E  TV DOMINGOS ASSUNCAO
2310216127;R MIN  FERREIRA ALVES  ENTRE  R COTOXO E  R DR MIRANDA DE AZEVEDO
2310216127;R DR  AUGUSTO DE MIRANDA  X  R MIN FERREIRA ALVES
2310221120;R   AIMBERE  X  R BARTIRA
2310223123;R   BERNARDO DA VEIGA  X  R APINAJES
2310224120;R   HARMONIA  - N.670 - IGREJA RENOVADORA CRISTÃ
2310225126;R   ANDRADE FERNANDES  X  R DONA ELISA DE MORAES MENDES
2310226122;R GAL  VITORINO MONTEIRO  X  R JARICUNAS
2310227129;R   APINAJES  X  R CAPITAL FEDERAL
2310228125;R   JOAO MOURA  ENTRE  R MADALENA E  R IPERO
2310229091;R   NATINGUI  X  R FRANCISCO ISOLDI
2310230120;R PDE  CHICO  X  R CARAIBAS - N.93 - EE MISS BROWNE
2310230120;R   DIANA  X  R PDE CHICO - N.250 - EMEI SANTOS DUMONT
2310231126;R CEL  MELO DE OLIVEIRA  X  R TUCUNA
2310232092;R   NATINGUI  ENTRE  AV DAS CORUJAS E  R DJALMA COELHO
2310232122;R   TUCUNA  ENTRE  R MIN FERREIRA ALVES E  R DESEM VALE
2310233129;AV   ARRUDA BOTELHO  ENTRE  R MARCOS MELEGA E  R BENNET
2310236098;AV   POMPEIA  ENTRE  R TAVARES BASTOS E  R CEL MELO DE OLIVEIRA - N.985
2310236110;R   TIBERIO  - N.145 - ESCOLA ESTADUAL DR EDMUNDO DE CARVALHO
2310237124;R   AMALIA DE NORONHA  X  R JOAO MOURA - R.ÁSIA
2310238120;R   VANDERLEI  X  R AIMBERE
2310238120;R   VANDERLEI  - N.1512 - RUA AIMBERÊ
2310239127;R PDE  CHICO  - N.102 - R.CARAIBAS
2310240125;R   HENRIQUE SCHAUMANN  ENTRE  PC CELSO DELMANTO E  R CARD ARCOVERDE
2310240125;R   HENRIQUE SCHAUMANN  ENTRE  AV PAULO VI E  R CARD ARCOVERDE
2310242101;PC   IRMAOS KARMAM  ENTRE  R ZAIRA E  R PEDRO COELHO
2310243124;R   BELCHIOR DA CUNHA  X  R CHICHORRO DA GAMA
2310243124;R   PIACA  X  R CASTRO DELGADO
2310243124;R   BELCHIOR DA CUNHA  X  R CASTRO DELGADO
2310243124;R   BELCHIOR DA CUNHA  X  R CRISTALANDIA
2310243124;R   PIACA  X  R CRISTALANDIA
2310243124;R   PIACA  ENTRE  R OROBO E  R MASSACA
2310243124;R   BELCHIOR DA CUNHA  X  R MARIA DA GRA
2310243124;R   BELCHIOR DA CUNHA  X  R MASSACA
2310243124;R   OROBO  X  R SILVA PRADO
2310243124;R   MASSACA  X  R PIACA
2310243124;R   OROBO  X  R PIACA
2310246107;R CEL  MELO DE OLIVEIRA  ENTRE  R BR DO BANANAL E  AV POMPEIA - N.567
2310250120;R   ALMIR RIBEIRO  ENTRE  R PARIS E  R SALTO GRANDE
2310259098;R   COTOXO  ENTRE  R CAJAIBA E  R VENANCIO AIRES
2310260126;R DR  CARLOS NORBERTO DE S. ARANHA  X  R VITORINO DE CARVALHO
2310261122;R   CARACA  X  R EVEZU
2310262129;R ARQ  JAIME FONSECA RODRIGUES  X  R DESEM FERREIRA FRANCA
2310262129;R ARQ  JAIME FONSECA RODRIGUES  X  R DR CARLOS NORBERTO DE S. ARANHA
2310262129;R ARQ  JAIME FONSECA RODRIGUES  X  R CARACA
2310263125;R   IPERO  X  R JOAO MOURA
2310263125;R   IPERO  X  R FELIPE CAVALCANTI
2310263125;R   BERNARDO BICUDO  X  R FELIPE CAVALCANTI
2310264121;R DESEM  FERREIRA FRANCA  ENTRE  R DOS MACUNIS E  R OURANIA - CEI MÃE DO SALVADOR
2310264121;R  DOS MACUNIS  ENTRE  AV DIOGENES RIBEIRO DE LIMA E  R JUBIABA - CEI MÃE DO SALVADOR
2310264121;AV   DIOGENES RIBEIRO DE LIMA  ENTRE  PC CECILIA PERIGO SALOIVA E  R DOS MACUNIS - CEI MÃE DO SALVADOR
2310265128;PC   PAN - AMERICANA  X  AV PROF FONSECA RODRIGUES
2310266086;R   NAZARE PAULISTA  X  R PEREIRA LEITE
2310266124;R   JOAO MOURA  X  R ARTUR DE AZEVEDO
2310267120;R   FERNAO DIAS  ENTRE  R TUCAMBIRA E  R FELIX BRACQUEMOND
2310268127;R   VENANCIO AIRES  ENTRE  R BR DO BANANAL E  AV POMPEIA
2310269123;R   GALENO DE ALMEIDA  X  R ARRUDA ALVIM
2310270121;R MIN  FERREIRA ALVES  ENTRE  R CARAIBAS E  R TUCUNA
2310271128;R DR  AUGUSTO DE MIRANDA  ENTRE  R CEL MELO DE OLIVEIRA E  R TAVARES BASTOS
