MARCA;FABRICAÇÃO;VISTORIA;COMBUSTIVEL;QTDE_PORTAS
PEUGEOT/BOXER M330M 23S;2011;18/02/2014;diesel;
IMP/MBENZ 312D SPRINTER M;1999;24/01/2014;diesel;
FIAT/DUCATO COMBINATO;2008;07/02/2014;diesel;
I/KIA BESTA GS GRAND2;2004;22/11/2013;diesel;
FIAT/DUCATO MINIBUS;2011;12/02/2014;diesel;
I/KIA BESTA GS GRAND;2001;08/02/2014;diesel;
I/HYUNDAI H100 GLS;2001;25/03/2013;diesel;
FIAT/DUCA ESCOLAR FFBM26;2007;29/01/2014;diesel;
MARCOPOLO/VOLARE LOTACAO;2000;13/09/2013;diesel;
FIAT/ DUCA ESCOLAR FFBM25;2011;08/11/2013;diesel;
FIAT/DUCATO GUERRA MC 20;2009;30/01/2014;diesel;
FIAT/DUCATO NIKS MIC 20;2008;13/02/2014;diesel;
FIAT/ DUCA ESCOLAR FFBM25;2008;06/11/2013;diesel;
FIAT/DUCA ESCOLAR FFBM26;2008;10/09/2013;diesel;
I/M.BENZ413CDI SPRINTERM;2011;12/12/2013;diesel;
I/HYUNDAI H100 GLS;1999;08/05/2013;diesel;
FIAT/DUCA15 FFORMA MIC20;2010;14/10/2013;diesel;
I/KIA BESTA GS GRAND;2000;25/11/2013;diesel;
FIAT/DUCATO GREENCAR MO1;2010;21/03/2013;diesel;
IVECOFIAT/D4012 MAXIVAN1;2002;17/01/2014;diesel;
FIAT/DUCATO MULTI REVESC;2008;13/12/2013;diesel;
IMP/M.BENZ 310D SPRINTERM;1999;13/02/2014;diesel;
FIAT/DUCA ESCOLAR FFBM26;2003;03/12/2013;diesel;
PEUGEOT/BOXER M330M 23S;2011;11/09/2013;diesel;
M.BENZ/MPOLO SENIOR GVO;1996;21/06/2013;diesel;
IMP/KIA BESTA 12P GS;1998;21/10/2013;diesel;
I/HYUNDAI H100 GLS;2003;11/09/2013;diesel;
I/HYUNDAI H100 GLS;2001;24/09/2013;diesel;
FIAT/DUCATO MULTI REVESC;2009;27/11/2013;diesel;
I/HYUNDAI H100 GLS;2001;12/09/2013;diesel;
I/HYUNDAI H100 GLS;2003;29/10/2013;diesel;
IMP/KIA BESTA 12P GS;2001;12/12/2013;diesel;
PEUGEOT/BOXER M33OM HDI;2008;17/09/2013;diesel;
FIAT/ DUCA ESCOLAR FFBM25;2007;27/11/2013;diesel;
I/HYUNDAI H100 GLS;2002;09/10/2013;diesel;
FIAT/DUCA15 FFORMA MIC20;2010;18/12/2013;diesel;
I/KIA BESTA GS GRAND;2000;03/09/2013;diesel;
FIAT/DUCATO COMBINATO;2001;24/09/2013;diesel;
I/KIA BESTA GS GRAND;2000;17/02/2014;diesel;
I/KIA BESTA GS GRAND;2003;21/01/2014;diesel;
FIAT/DUCATO GREENCAR MO1;2010;19/09/2013;diesel;
I/M. BENZ313CDI SPRINTERM;2008;18/12/2013;diesel;
FIAT/DUCATO MINIBUS;2008;18/10/2013;diesel;
M.B./M. BENZ O 371 R;1990;30/12/2013;diesel;
IMP/MBENZ 312D SPRINTER M;2001;28/08/2013;diesel;
I/KIA BESTA GS GRAND2;2004;29/08/2013;diesel;
FIAT/DUCATO MINIBUS;2012;23/12/2013;diesel;
RENAULT/MASTER BUS16 DCI;2007;12/02/2014;diesel;
I/M. BENZ313CDI SPRINTERM;2009;17/02/2014;diesel;
VW/KOMBI ESCOLAR;2005;01/10/2013;gasolina / gnv;
I/KIA BESTA GS GRAND;2000;11/10/2013;diesel;
RENAULT/M REVESCAP L3H2;2008;06/09/2013;diesel;
I/KIA BESTA GS GRAND;2000;06/12/2013;diesel;
FIAT/DUCATO MINIBUS;2010;22/08/2013;diesel;
I/JINBEI FABUSFORMA M35;2009;13/09/2013;gasolina / gnv;
FIAT/DUCACOMFFORMA MIC21;2001;26/09/2013;diesel;
FIAT/DUCATO NIKS MIC 20;2010;20/09/2013;diesel;
FIAT/DUCATO GUERRA MC 20;2013;25/09/2013;diesel;
I/KIA BESTA GS GRAND;2001;30/09/2013;diesel;
I/JINBEI TOPIC L;2012;26/07/2013;gasolina;
I/HYUNDAI H100 GLS;1999;10/09/2013;diesel;
RENAULT/MASTER BUS16 DCI;2011;13/11/2013;diesel;
PEUGEOT/BOXER FFBM 32;2012;09/09/2013;diesel;
MARCOPOLO/VOLARE LOTACAO;2002;16/12/2013;diesel;
PEUGEOT/BOXER M330M 23S;2009;28/11/2013;diesel;
I/KIA BESTA GS GRAND;2001;20/08/2013;diesel;
I/HYUNDAI H100 GLS;2002;28/11/2013;diesel;
FIAT/DUCA ESCOLAR FFBM26;2007;06/11/2013;diesel;
FIAT/DUCA ESCOLAR FFBM26;2002;01/11/2013;diesel;
IMP/KIA BESTA 12P GS;1999;04/11/2013;diesel;
FIAT/ DUCA ESCOLAR FFBM25;2001;27/11/2013;diesel;
PEUGEOT/BOXER FFBM 32;2012;04/10/2013;diesel;
MARCOPOLO/VOLARE;2000;12/12/2013;diesel;
CITROEN/JUMPER M33M 23S;2011;13/11/2013;diesel;
FIAT/ DUCA ESCOLAR FFBM25;2011;18/10/2013;diesel;
IMP/KIA BESTA 12P GS;1999;05/09/2013;diesel;
PEUGEOT/BOXER M330M 23S;2011;12/09/2013;diesel;
I/KIA BESTA GS GRAND;2001;16/12/2013;diesel;
IMP/KIA BESTA 12P GS;1998;22/07/2013;diesel;
I/M.BENZ GUERRA MIC 20;2012;07/10/2013;diesel;
FIAT/DUCATO GUERRA MC 20;2011;06/11/2013;diesel;
I/M. BENZ313CDI SPRINTERM;2010;22/11/2013;diesel;
CITROEN/JUMPER M33M HDI;2009;23/09/2013;diesel;
FIAT/DUCATO 15REFAMMIC13;2007;16/09/2013;diesel;
VW/KOMBI ESCOLAR;2010;23/10/2013;álcool/gasolina;
MARCOPOLO/VOLARE A8 ON;2004;21/11/2013;diesel;
FIAT/DUC TRANSFORMERS TE;2010;07/02/2014;diesel;
FIAT/DUCATO GUERRA MC 20;2009;27/09/2013;diesel;
FIAT/DUCATO C REFAMMIC12;2004;29/10/2013;diesel;
