MODALIDADE;CADASTRO;VALIDADE;SITUACAO;DT_NASCIMENTO;LOCAL_PONTO;PONTUACAO
TAXI;4812735;30/06/2016;ATIVO;13/08/1956;;10
TAXI;4818830;01/11/2014;ATIVO;24/12/1941;18060080;10
TAXI;4819934;08/08/2017;ATIVO;09/05/1952;11100214;5
TAXI;4828739;11/09/2013;CANCELADO;;;20
TAXI;4829336;30/07/2016;ATIVO;13/09/1942;;10
TAXI;4830032;21/08/2016;ATIVO;02/09/1943;1080075;5
TAXI;4864638;02/07/2016;ATIVO;01/07/1934;18040292;5
TAXI;4900634;09/08/2014;ATIVO;27/05/1943;;5
TAXI;4914031;26/09/2010;?BITO;;;10
TAXI;4914635;21/03/2018;ATIVO;08/04/1948;20060521;10
TAXI;4962931;23/08/2009;?BITO;04/09/1939;;120
TAXI;5025435;23/01/2017;ATIVO;;24000027;5
TAXI;5034230;04/04/2016;ATIVO;25/04/1939;17080193;10
TAXI;5041937;12/09/2017;ATIVO;;2040069;5
TAXI;5059437;11/02/2017;ATIVO;27/02/1952;;10
TAXI;5068932;19/06/2014;ATIVO;29/05/1954;;30
TAXI;5083931;30/10/2015;ATIVO;28/08/1939;;10
TAXI;5084130;13/05/2014;ATIVO;30/06/1948;;20
TAXI;5092132;02/08/2018;ATIVO;15/09/1948;2120224;5
TAXI;5114438;19/04/2015;ATIVO;29/05/1950;18040411;10
TAXI;5126231;12/07/2015;ATIVO;15/08/1938;;10
TAXI;5129931;11/10/2014;ATIVO;03/10/1935;20040270;5
TAXI;5142431;22/07/2010;?BITO;10/08/1939;11120037;30
TAXI;5155037;08/05/2017;ATIVO;10/06/1948;;5
TAXI;5176530;10/08/2015;ATIVO;12/08/1946;17100364;10
TAXI;5206634;25/05/2014;ATIVO;29/05/1941;17040213;5
TAXI;5208530;24/05/2018;ATIVO;;;10
TAXI;5222630;01/12/2016;ATIVO;;2040069;10
TAXI;5241030;17/08/2016;ATIVO;19/09/1956;24000671;10
TAXI;5251230;03/08/2013;CANCELADO;08/11/1927;11100060;15
TAXI;5267838;26/07/2015;ATIVO;26/08/1950;10080181;10
TAXI;5284830;12/11/2014;ATIVO;30/01/1945;18040535;5
TAXI;5293430;07/12/2017;ATIVO;18/12/1952;18040063;5
TAXI;5313031;06/05/2018;ATIVO;15/05/1948;;5
TAXI;5320739;27/08/2014;ATIVO;23/09/1944;;10
TAXI;5329736;21/02/2016;ATIVO;22/02/1940;24000809;5
TAXI;5335132;07/05/2014;ATIVO;;18140335;10
TAXI;5343631;15/08/2016;ATIVO;;;5
