Codigo;Marca
005000;IMP/GILERA FUSION 50               
005001;I/GILERA 125                       
005002;I/GILERA NEXUS 500                 
005099;IMP/HONDA CB 200                   
005118;AND.EDER/F.PROPRIA TRIC            
005173;P.FERREIRA/F.PROPRIA MT            
005190;A.MAGRIN/F.PROPRIA TRIC            
005198;ILY.PERUAYTE/F.PROPRIA T           
005199;IMP/HONDA CB 350                   
005200;I/CARVER ONE                       
005299;IMP/HONDA CB 360                   
005301;I/WANHU GSM 125CC                  
005399;IMP/HONDA CB 400 FOUR              
005400;I/DHCLBC LBCMCO                    
005499;IMP/HONDA CB 450 TWO               
005599;IMP/HONDA CB 50                    
005699;IMP/HONDA CB 500                   
005799;IMP/HONDA CB 500 FOUR              
005899;IMP/HONDA  CB 750 FOUR             
005901;IMP/HONDA XL 600                   
005902;IMP/HONDA XL 185                   
005903;IMP/HONDA XR 650 L                 
005999;IMP/HONDA XL 250                   
006099;IMP/INDIAN                         
006199;IMP/ISO                            
006200;I/JAWA CHOPPER 350                 
006299;IMP/JAWA                           
006301;IMP/KAWASAKI VN750                 
006302;IMP/KAWASAKI VN1500                
006303;IMP/KAWASAKI ZX750                 
006304;IMP/KAWASAKI ZX1100                
006305;IMP/KAWASAKI ZX600                 
006306;IMP/KAWASAKI  ZR1100               
006307;IMP/KAWASAKI KLR250                
006308;IMP/KAWASAKI EX250                 
006309;IMP/KAWASAKI KE250                 
006310;IMP/KAWASAKI EN500                 
006311;IMP/KAWASAKI ZX900                 
006312;IMP/KAWASAKI ZG1200                
006313;IMP/KAWASAKI KLX650                
006314;IMP/KAWAZAKI VN800                 
006315;IMP/KAWAZAKI KLX250                
006316;IMP/KAWAZAKI BAYOU 220             
006317;IMP/KAWASAKI NINJA 500             
006318;IMP/KAWAZAKI NINJA ZX7             
006319;IMP/KAWAZAKI NINJA ZX9             
006320;IMP/KAWAZAKI NINJA ZX11            
006321;IMP/KAWAZAKI VULCAN 750            
006322;IMP/KAWAZAKI VULCAN 800            
006323;IMP/KAWAZAKI VULCAN 1500           
006324;IMP/KAWAZAKI ZX 400K               
006325;IMP/KAVASAKI ZEPHYR 400            
006326;IMP/KAWAZAKI ZRX 1100              
006327;I/KAWASAKI ZX9 R                   
006328;I/KAWASAKI NINJA ZX 12R            
006329;I/KAWASAKI KDX 220                 
006330;I/KAWASAKI ZR750                   
006332;I/KAWASAKI ZZR 400                 
006333;I/KAWASAKI NINJA 1000R             
006334;I/KAWASAKI NINJA ZX 10R            
006335;I/KAWASAKI ZX 10R                  
006336;I/KAWASAKI ZX 6R                   
006337;I/KAWASAKI VULCAN 2000             
006338;I/KAWASAKI ZX 14                   
006339;I/KAWASAKI NINJA ZX 14             
006340;I/KAWASAKI Z1000                   
006342;I/KAWASAKI NINJA 650 R             
006343;I/KAWASAKI CLASSIC 1500            
006344;I/KAWASAKI DRIFTER                 
006345;I/KAWASAKI Z 750                   
006346;I/KAWASAKI VN 900                  
006348;I/KAWASAKI ZZR 1400                
006349;I/KAWASAKI CONCOURS 14             
006350;I/KAWASAKI NINJA 250R              
006351;I/KAWASAKI VULCAN 900 CL           
006353;I/KAWASAKI VULCAN 900 CT           
006354;I/KAWASAKI CONCOURS14ABS           
006355;I/KAWASAKI VERSYS ABS              
006356;I/KAWASAKI VERSYS                  
006357;I/KAWASAKI ER-6N                   
006358;I/KAWASAKI Z1000 ABS               
006359;KAWASAKI/VULCAN 900 CT             
006360;KAWASAKI/NINJA 650R ABS            
006361;I/KAWASAKI NINJA ZX14ABS           
006362;KAWASAKI/VULCAN 900 LT             
006363;KAWASAKI/VULCAN 900 CL             
006364;KAWASAKI/NINJA 650R                
006365;I/KAWASAKI VN 900 BAF CL           
006367;KAWASAKI/Z1000 ABS                 
006368;KAWASAKI/VERSYS                    
006369;KAWASAKI/VERSYS ABS                
006370;KAWASAKI/Z1000                     
006371;KAWASAKI/VERSYS TR                 
006372;KAWASAKI/VERSYS TR ABS             
006373;I/KAWASAKI KZ 1000 LTD             
006375;I/KTM 990 ADV DAKAR ED             
006376;KAWASAKI/VERSYS CITY ABS           
006378;KAWASAKI/NINJA ZX14R               
006379;KAWASAKI/NINJA ZX14R ABS           
006380;KAWASAKI/VERSYS 1000 TRA           
006381;KAWASAKI/VERSYS 1000 ABS           
006382;I/KAWASAKI VERSYS 1000 A           
006384;I/KAWASAKI NINJA 300               
006385;I/KAWASAKI ZR 800 B                
006386;KAWASAKI/NINJA 300                 
006387;KAWASAKI/NINJA 300 ABS             
006388;KAWASAKI/NINJA ZX-6R ABS           
006389;KAWASAKI/Z800                      
006390;KAWASAKI/Z800 ABS                  
006399;IMP/KAWASAKI                       
006401;IMP/KTM 400 LC4E                   
006402;IMP/KTM 640 LC4E                   
006403;IMP/KTM 620 SC                     
006404;IMP/KTM 640 ADVENTURE              
006405;I/KTM DUKE II                      
006406;I/KTM ADVENTURE R 640              
006407;I/KTM EXC 400                      
006408;I/KTM EXC 520                      
006409;I/KTM 950 ADVENTURE LC8            
006410;I/KTM 625 SC                       
006411;I/KTM EXC 450                      
006412;I/HUSABERG F550 E                  
006413;I/KTM 990 SUPER DUKE               
006414;I/KTM 990 ADVENTURE LC8            
006415;I/KTM 950 SUPER ENDURO R           
006416;I/KTM 690 SUPERMOTO                
006417;I/KTM 990 ADVENTURE LC8            
006418;I/KTM 690 ENDURO                   
006419;I/KTM 950 SUPERMOTO R              
006420;I/KTM 1190 RC8                     
006422;I/KTM 990 SUPERMOTO T              
006423;I/KTM ADVENTURE 990                
006424;I/KTM 690 DUKE                     
006425;I/KTM 990 ADVENTURE R              
006426;I/KTM 690 ENDURO R                 
006427;I/KTM 1190 RC8 R                   
006428;I/KTM 990 ADV ABS                  
006430;I/KTM 990 SUPERMOTO R              
006432;I/HUSABERG FS 570                  
006433;I/KTM 990 SM T ABS                 
006435;I/KTM 1190 RC8 R REDBULL           
006440;I/DUCATI 1199 PANIG A              
006499;IMP/KTM                            
006599;IMP/LAMBRETTA                      
006606;YAMAHA/YBR 125E                    
006699;IMP/MATCHLESS                      
006799;IMP/MONTESA                        
006801;I/MGUZZI BR CALIFORNIA S           
006802;I/MGUZZI BR V11 SPORT              
006803;I/MGUZZI CALIFORNIA EV             
006804;I/MGUZZI QUOTA 1100 ES             
006805;I/MGUZZI BR CALIF JACKAL           
006806;I/MGUZZI GRISO 8V                  
006899;IMP/MOTOGUZZI                      
006999;IMP/MZ                             
007099;IMP/NORTON                         
007199;IMP/NSU                            
007201;IMP/PIAGGIO RUNNER GL 50           
007202;IMP/PIAGGIO VESPA OR 50            
007203;IMP/PIAGGIO ZIP 50                 
007204;IMP/PIAGGIO ZIP 50 FD              
007205;IMP/PIAGGIO NRG MC2 50             
007206;IMP/PIAGGIO TYPHOON 80             
007207;I/PIAGGIO BEVERLY 500              
007208;I/PIAGGIO NGR MC3 DD               
007209;I/PIAGGIO 250 D                    
007210;I/VESPA 150CC ET4                  
007211;I/VESPA GTS 250                    
007212;I/PIAGGIO BEVERLY 250              
