id_local;local;subprefeitura;distrito;latitude;longitude
3221;RITA DE CASSIA, PC STA x ROSAS, R DAS x CAPUTIRA, R x CASIMIRO DA ROCHA, AV SEN;VILA MARIANA;SAUDE;-23,606537;-46,640875
3222;LUIS GOIS, R x PRIMEIRO DE JANEIRO, R x BONINAS, AL DAS;VILA MARIANA;SAUDE;-23,603993;-46,639921
3223;JABAQUARA, AV x DOMINGOS DE MORAIS, R x CASIMIRO DA ROCHA, AV SEN x LUIS GOIS, R;VILA MARIANA;SAUDE;-23,604098;-46,636642
3224;JABAQUARA, AV x ARVORE, PC DA x BOSQUE DA SAUDE, AV x SERRA MARTINS, R GAL x GUARAU, R;VILA MARIANA;SAUDE;-23,610555;-46,637847
3225;JABAQUARA, AV x ORICANGA, R x ROSAS, R DAS;VILA MARIANA;SAUDE;-23,609164;-46,637805
3226;CARAMURU, R x CORREIA DE LEMOS, R - (N 143);VILA MARIANA;SAUDE;-23,608167;-46,637039
3228;JABAQUARA, AV x BONINAS, AL DAS;VILA MARIANA;SAUDE;-23,606933;-46,637693
3229;BONINAS, AL DAS x JACINTOS, R DOS;VILA MARIANA;SAUDE;-23,604945;-46,639741
3230;LUIS GOIS, R x JUREIA, R;VILA MARIANA;SAUDE;-23,60405;-46,630327
3231;BOSQUE DA SAUDE, AV x BERTIOGA, R x JUA, R;VILA MARIANA;SAUDE;-23,611929;-46,633775
3232;AFONSO CELSO, R x LUIS GOIS, R;VILA MARIANA;SAUDE;-23,603993;-46,635065
3233;BOSQUE DA SAUDE, AV x GUAIRA, R;VILA MARIANA;SAUDE;-23,611553;-46,632123
3234;CECI, AV x ARAES, AL DOS;VILA MARIANA;SAUDE;-23,612446;-46,653236
3235;ARATAS, AV x GUAINUMBIS, AL DOS;VILA MARIANA;MOEMA;-23,615402;-46,655202
3236;INDIANOPOLIS, AV x GUAINUMBIS, AL DOS;VILA MARIANA;SAUDE;-23,612646;-46,650652
3237;INDIANOPOLIS, AV x APETUPAS, AL;VILA MARIANA;SAUDE;-23,614577;-46,649844
3238;INDIANOPOLIS, AV x GUATAS, AL DOS;VILA MARIANA;SAUDE;-23,616593;-46,649094
3239;INDIANOPOLIS, AV x AFONSO MARIANO FAGUNDES, AV;VILA MARIANA;SAUDE;-23,618531;-46,648139
3240;CECI, AV x ARATAS, AV x AFONSO MARIANO FAGUNDES, AV x CANINGAS, R;VILA MARIANA;SAUDE;-23,619221;-46,650475
3241;AFONSO MARIANO FAGUNDES, AV x IRERE, AV;VILA MARIANA;SAUDE;-23,618978;-46,649395
3242;INDIANOPOLIS, AV x QUINIMURAS, AL DOS;VILA MARIANA;SAUDE;-23,619696;-46,647737
3243;JABAQUARA, AV x FAGUNDES DIAS, R x PEREIRA ESTEFANO, R;VILA MARIANA;SAUDE;-23,617465;-46,638982
3244;PEREIRA ESTEFANO, R x FIACAO DA SAUDE, R;VILA MARIANA;SAUDE;-23,617843;-46,637656
3245;JABAQUARA, AV x AFONSO MARIANO FAGUNDES, AV x VERIANO PEREIRA, R;VILA MARIANA;SAUDE;-23,615302;-46,638495
